country,averagewomenPerChildren,indicatoroffirstMarriage
Afghanistan,7,17
Argentina,2,23
Australia,1,28
Bangladesh,3,18
Brazil,2,23
China,1,23
Colombia,2,23
France,1,30
Germany,1,30
Ghana,4,22
India,3,19
Indonesia,2,22
Iran,2,22
Iraq,4,24
Israel,2,25
Japan,1,28
Malaysia,2,22
Mexico,2,30
New Zealand,2,20
Nigeria,6,22
Pakistan,4,23
Peru,2,23
Philippines,3,25
Romania,1,23
Russia,1,27
South Africa,3,29
South Korea,1,32
Sweden,1,31
Spain,1,27
Thailand,1,24
USA,2,25
Venezuela,2,22
Vietnam,2,23
Yemen,6,21
Zambia,6,20
Zimbabwe,4,21